 X: 0.87563574 | Y: 1.08715045 | Z: 0.51848316 | accel X: 0.00463080 | accel Y: 0.00106293 | accel Z: -0.02319103
 X: 0.87614518 | Y: 1.09160185 | Z: 0.51503807 | accel X: 0.00175936 | accel Y: 0.00123156 | accel Z: -0.02660459
 X: 0.87918937 | Y: 1.08705080 | Z: 0.51836538 | accel X: 0.00144693 | accel Y: 0.00097693 | accel Z: -0.02522326
 X: 0.87989169 | Y: 1.08777678 | Z: 0.51560223 | accel X: 0.00281504 | accel Y: 0.00099024 | accel Z: -0.02359676
 X: 0.87596065 | Y: 1.08949912 | Z: 0.51320022 | accel X: 0.00856011 | accel Y: -0.00034436 | accel Z: -0.03077561
 X: 0.88327783 | Y: 1.08680141 | Z: 0.51691097 | accel X: 0.00129710 | accel Y: 0.00270511 | accel Z: -0.02541220
 X: 0.87929469 | Y: 1.08800101 | Z: 0.51442629 | accel X: 0.00515972 | accel Y: 0.00058191 | accel Z: -0.02587503
 X: 0.87541884 | Y: 1.08921027 | Z: 0.51813620 | accel X: -0.00000793 | accel Y: -0.00229103 | accel Z: -0.02654457
 X: 0.87908751 | Y: 1.08695436 | Z: 0.51690060 | accel X: 0.00593420 | accel Y: 0.00088957 | accel Z: -0.02576429
 X: 0.87450540 | Y: 1.08978820 | Z: 0.51923066 | accel X: -0.00024889 | accel Y: 0.00051035 | accel Z: -0.02795833
 X: 0.88079345 | Y: 1.08782017 | Z: 0.51292318 | accel X: 0.00234742 | accel Y: -0.00319809 | accel Z: -0.02388024
 X: 0.88633579 | Y: 1.08590114 | Z: 0.51880753 | accel X: 0.00234742 | accel Y: -0.00319809 | accel Z: -0.02388024
 X: 0.87307900 | Y: 1.09407687 | Z: 0.51318085 | accel X: 0.00286113 | accel Y: -0.00189842 | accel Z: -0.02854061
 X: 0.87821561 | Y: 1.08750510 | Z: 0.51690185 | accel X: 0.00104925 | accel Y: 0.00110892 | accel Z: -0.02435470
 X: 0.87353569 | Y: 1.09220922 | Z: 0.51494491 | accel X: 0.00174883 | accel Y: -0.00085273 | accel Z: -0.02339822
 X: 0.87899786 | Y: 1.08696604 | Z: 0.51623803 | accel X: -0.00343040 | accel Y: 0.00006247 | accel Z: -0.02380037
 X: 0.87795430 | Y: 1.08732057 | Z: 0.51735044 | accel X: 0.00521629 | accel Y: 0.00177791 | accel Z: -0.02710181
 X: 0.87917048 | Y: 1.08726180 | Z: 0.51654553 | accel X: 0.00335813 | accel Y: -0.00013351 | accel Z: -0.02648747
 X: 0.87937570 | Y: 1.09257150 | Z: 0.51286024 | accel X: 0.00335813 | accel Y: -0.00013351 | accel Z: -0.02648747
 X: 0.87325394 | Y: 1.09127903 | Z: 0.52147418 | accel X: 0.00271866 | accel Y: -0.00055180 | accel Z: -0.02157408
 X: 0.87728846 | Y: 1.09004748 | Z: 0.51545382 | accel X: -0.00080696 | accel Y: -0.00027080 | accel Z: -0.02681404
