x amp: 12.553   | y amp: 77.865   | z amp: 156.338  
x amp: 17.950   | y amp: 71.164   | z amp: 159.229  
x amp: 37.250   | y amp: 93.442   | z amp: 164.097  
x amp: 14.930   | y amp: 76.306   | z amp: 159.826  
x amp: 18.444   | y amp: 75.311   | z amp: 157.654  
x amp: 12.960   | y amp: 69.446   | z amp: 159.239  
x amp: 14.816   | y amp: 71.078   | z amp: 156.762  
x amp: 14.743   | y amp: 70.813   | z amp: 160.454  
x amp: 14.559   | y amp: 71.164   | z amp: 157.224  
x amp: 24.390   | y amp: 61.119   | z amp: 156.438  
x amp: 12.648   | y amp: 61.835   | z amp: 162.478  
x amp: 16.486   | y amp: 65.707   | z amp: 158.899  
x amp: 8.565    | y amp: 68.246   | z amp: 159.189  
x amp: 8.360    | y amp: 70.353   | z amp: 155.532  
x amp: 13.535   | y amp: 71.073   | z amp: 158.975  
x amp: 14.885   | y amp: 70.233   | z amp: 159.011  
x amp: 14.153   | y amp: 63.771   | z amp: 158.957  
x amp: 7.221    | y amp: 67.412   | z amp: 159.585  
x amp: 9.898    | y amp: 62.779   | z amp: 157.442  
x amp: 15.251   | y amp: 71.767   | z amp: 159.724  
x amp: 27.967   | y amp: 70.013   | z amp: 159.285  
x amp: 31.814   | y amp: 66.802   | z amp: 156.294  
x amp: 18.288   | y amp: 71.982   | z amp: 160.799  
x amp: 16.536   | y amp: 70.675   | z amp: 156.999  
x amp: 14.392   | y amp: 70.088   | z amp: 160.478  
x amp: 5.812    | y amp: 69.259   | z amp: 158.411  
x amp: 21.201   | y amp: 54.912   | z amp: 150.223  
x amp: 19.047   | y amp: 78.968   | z amp: 159.524  
x amp: 14.689   | y amp: 77.122   | z amp: 158.274  
x amp: 17.316   | y amp: 72.341   | z amp: 158.353  
x amp: 13.181   | y amp: 71.383   | z amp: 159.331  
x amp: 17.051   | y amp: 74.216   | z amp: 158.648  
x amp: 13.439   | y amp: 79.332   | z amp: 159.653  
x amp: 36.434   | y amp: 75.312   | z amp: 156.182  
x amp: 15.462   | y amp: 73.087   | z amp: 158.434  
x amp: 13.459   | y amp: 71.839   | z amp: 159.380  
x amp: 14.310   | y amp: 73.059   | z amp: 159.288  
x amp: 20.544   | y amp: 74.486   | z amp: 159.504  
x amp: 13.238   | y amp: 55.453   | z amp: 157.803  
x amp: 14.486   | y amp: 70.275   | z amp: 159.647  
