x amp: 120.155  | y amp: 78.580   | z amp: 15.475   
x amp: 123.785  | y amp: 70.470   | z amp: 20.043   
x amp: 118.054  | y amp: 65.774   | z amp: 22.036   
x amp: 117.820  | y amp: 69.363   | z amp: 12.527   
x amp: 129.793  | y amp: 78.507   | z amp: 33.730   
x amp: 108.027  | y amp: 60.863   | z amp: 41.736   
x amp: 121.093  | y amp: 66.862   | z amp: 16.812   
x amp: 118.927  | y amp: 66.632   | z amp: 17.365   
x amp: 121.682  | y amp: 71.334   | z amp: 18.216   
x amp: 114.439  | y amp: 67.544   | z amp: 27.028   
x amp: 116.814  | y amp: 79.695   | z amp: 16.985   
x amp: 128.894  | y amp: 57.731   | z amp: 23.975   
x amp: 128.974  | y amp: 54.622   | z amp: 49.591   
x amp: 116.099  | y amp: 67.120   | z amp: 6.002    
x amp: 118.113  | y amp: 74.539   | z amp: 32.414   
x amp: 118.042  | y amp: 71.849   | z amp: 15.078   
x amp: 116.189  | y amp: 64.898   | z amp: 12.879   
x amp: 118.675  | y amp: 69.114   | z amp: 37.034   
x amp: 109.745  | y amp: 59.729   | z amp: 13.374   
x amp: 133.518  | y amp: 66.473   | z amp: 65.152   
x amp: 108.510  | y amp: 69.723   | z amp: 21.309   
x amp: 114.380  | y amp: 69.141   | z amp: 17.588   
x amp: 121.670  | y amp: 70.524   | z amp: 9.765    
x amp: 117.286  | y amp: 67.630   | z amp: 25.746   
x amp: 119.715  | y amp: 82.207   | z amp: 25.220   
x amp: 123.686  | y amp: 71.069   | z amp: 22.285   
x amp: 100.149  | y amp: 48.521   | z amp: 68.936   
x amp: 120.482  | y amp: 68.883   | z amp: 24.738   
x amp: 119.355  | y amp: 70.673   | z amp: 18.805   
x amp: 116.833  | y amp: 56.713   | z amp: 11.084   
x amp: 111.817  | y amp: 68.267   | z amp: 21.973   
x amp: 114.232  | y amp: 69.428   | z amp: 14.485   
x amp: 106.026  | y amp: 73.606   | z amp: 14.006   
x amp: 103.634  | y amp: 61.516   | z amp: 58.691   
x amp: 119.732  | y amp: 76.726   | z amp: 27.224   
x amp: 114.030  | y amp: 72.762   | z amp: 21.126   
x amp: 118.951  | y amp: 70.435   | z amp: 15.126   
x amp: 115.603  | y amp: 64.169   | z amp: 14.625   
x amp: 119.288  | y amp: 70.262   | z amp: 36.303   
x amp: 131.983  | y amp: 60.694   | z amp: 11.980   
x amp: 131.324  | y amp: 55.357   | z amp: 67.313   
x amp: 118.126  | y amp: 69.387   | z amp: 20.692   
x amp: 113.847  | y amp: 67.071   | z amp: 16.643   
x amp: 119.882  | y amp: 69.589   | z amp: 8.561    
x amp: 117.456  | y amp: 68.298   | z amp: 25.096   
x amp: 117.283  | y amp: 72.511   | z amp: 17.457   
x amp: 136.324  | y amp: 74.203   | z amp: 19.011   
x amp: 123.289  | y amp: 79.048   | z amp: 74.110   
x amp: 115.886  | y amp: 64.223   | z amp: 18.480   
x amp: 120.598  | y amp: 77.788   | z amp: 18.687   
x amp: 126.969  | y amp: 65.290   | z amp: 17.250   
x amp: 119.341  | y amp: 68.285   | z amp: 28.923   
x amp: 117.612  | y amp: 73.120   | z amp: 26.896   
x amp: 88.586   | y amp: 74.513   | z amp: 16.124   
x amp: 96.789   | y amp: 59.128   | z amp: 38.888   
x amp: 108.946  | y amp: 71.450   | z amp: 19.028   
x amp: 118.648  | y amp: 72.497   | z amp: 15.438   
x amp: 117.863  | y amp: 66.794   | z amp: 16.161   
x amp: 116.024  | y amp: 65.760   | z amp: 31.266   
x amp: 121.924  | y amp: 82.746   | z amp: 22.252   
x amp: 109.380  | y amp: 55.759   | z amp: 8.606    
x amp: 113.325  | y amp: 58.153   | z amp: 52.004   
x amp: 117.702  | y amp: 68.535   | z amp: 14.500   
x amp: 117.385  | y amp: 68.210   | z amp: 15.219   
x amp: 117.257  | y amp: 71.932   | z amp: 19.266   
