 X: 0.00004320 | Y: 0.00000405 | Z: 0.00001749
 X: 0.00004298 | Y: 0.00000416 | Z: 0.00001753
 X: 0.00004297 | Y: 0.00000422 | Z: 0.00001736
 X: 0.00004328 | Y: 0.00000409 | Z: 0.00001760
 X: 0.00004287 | Y: 0.00000422 | Z: 0.00001744
 X: 0.00004311 | Y: 0.00000418 | Z: 0.00001748
 X: 0.00004326 | Y: 0.00000434 | Z: 0.00001737
 X: 0.00004324 | Y: 0.00000399 | Z: 0.00001747
 X: 0.00004293 | Y: 0.00000439 | Z: 0.00001739
 X: 0.00004310 | Y: 0.00000406 | Z: 0.00001741
 X: 0.00004313 | Y: 0.00000433 | Z: 0.00001737
 X: 0.00004311 | Y: 0.00000413 | Z: 0.00001747
 X: 0.00004302 | Y: 0.00000451 | Z: 0.00001738
 X: 0.00004308 | Y: 0.00000414 | Z: 0.00001746
 X: 0.00004277 | Y: 0.00000461 | Z: 0.00001726
 X: 0.00004330 | Y: 0.00000421 | Z: 0.00001748
 X: 0.00004332 | Y: 0.00000419 | Z: 0.00001748
 X: 0.00004324 | Y: 0.00000437 | Z: 0.00001767
 X: 0.00004316 | Y: 0.00000408 | Z: 0.00001753
 X: 0.00004321 | Y: 0.00000446 | Z: 0.00001747
 X: 0.00004317 | Y: 0.00000428 | Z: 0.00001763
 X: 0.00004307 | Y: 0.00000458 | Z: 0.00001751
 X: 0.00004325 | Y: 0.00000414 | Z: 0.00001758
 X: 0.00004324 | Y: 0.00000417 | Z: 0.00001764
 X: 0.00004297 | Y: 0.00000402 | Z: 0.00001753
 X: 0.00004311 | Y: 0.00000412 | Z: 0.00001747
 X: 0.00004348 | Y: 0.00000407 | Z: 0.00001765
 X: 0.00004324 | Y: 0.00000475 | Z: 0.00001774
 X: 0.00004332 | Y: 0.00000396 | Z: 0.00001757
 X: 0.00004305 | Y: 0.00000424 | Z: 0.00001745
 X: 0.00004303 | Y: 0.00000434 | Z: 0.00001743
 X: 0.00004334 | Y: 0.00000400 | Z: 0.00001760
 X: 0.00004314 | Y: 0.00000399 | Z: 0.00001737
 X: 0.00004307 | Y: 0.00000437 | Z: 0.00001735
 X: 0.00004321 | Y: 0.00000438 | Z: 0.00001745
 X: 0.00004341 | Y: 0.00000415 | Z: 0.00001755
 X: 0.00004333 | Y: 0.00000414 | Z: 0.00001747
 X: 0.00004335 | Y: 0.00000425 | Z: 0.00001753
 X: 0.00004294 | Y: 0.00000408 | Z: 0.00001741
 X: 0.00004327 | Y: 0.00000402 | Z: 0.00001746
 X: 0.00004320 | Y: 0.00000385 | Z: 0.00001751
 X: 0.00004313 | Y: 0.00000482 | Z: 0.00001742
 X: 0.00004307 | Y: 0.00000437 | Z: 0.00001732
 X: 0.00004329 | Y: 0.00000396 | Z: 0.00001751
 X: 0.00004330 | Y: 0.00000427 | Z: 0.00001768
 X: 0.00004298 | Y: 0.00000435 | Z: 0.00001732
 X: 0.00004309 | Y: 0.00000425 | Z: 0.00001733
 X: 0.00004294 | Y: 0.00000439 | Z: 0.00001740
 X: 0.00004332 | Y: 0.00000462 | Z: 0.00001753
 X: 0.00004345 | Y: 0.00000414 | Z: 0.00001770
 X: 0.00004332 | Y: 0.00000397 | Z: 0.00001757
 X: 0.00004313 | Y: 0.00000425 | Z: 0.00001763
 X: 0.00004319 | Y: 0.00000417 | Z: 0.00001756
 X: 0.00004292 | Y: 0.00000439 | Z: 0.00001743
 X: 0.00004328 | Y: 0.00000389 | Z: 0.00001747
 X: 0.00004356 | Y: 0.00000439 | Z: 0.00001774
 X: 0.00004311 | Y: 0.00000471 | Z: 0.00001728
 X: 0.00004304 | Y: 0.00000444 | Z: 0.00001759
 X: 0.00004291 | Y: 0.00000459 | Z: 0.00001742
 X: 0.00004306 | Y: 0.00000412 | Z: 0.00001756
 X: 0.00004312 | Y: 0.00000438 | Z: 0.00001746
 X: 0.00004273 | Y: 0.00000463 | Z: 0.00001738
 X: 0.00004319 | Y: 0.00000417 | Z: 0.00001749
 X: 0.00004310 | Y: 0.00000438 | Z: 0.00001737
