x amp: 3.418    | y amp: 5.488    | z amp: 12.583   
x amp: 4.161    | y amp: 14.478   | z amp: 9.093    
x amp: 5.847    | y amp: 1.570    | z amp: 5.356    
x amp: 4.893    | y amp: 2.707    | z amp: 19.155   
x amp: 3.382    | y amp: 13.170   | z amp: 7.461    
x amp: 2.324    | y amp: 4.793    | z amp: 2.382    
x amp: 2.994    | y amp: 1.205    | z amp: 22.395   
x amp: 1.402    | y amp: 12.260   | z amp: 9.692    
x amp: 2.304    | y amp: 4.198    | z amp: 5.413    
x amp: 0.368    | y amp: 2.753    | z amp: 20.287   
x amp: 0.900    | y amp: 13.861   | z amp: 6.901    
x amp: 4.384    | y amp: 5.381    | z amp: 5.888    
x amp: 0.867    | y amp: 2.363    | z amp: 11.111   
x amp: 3.258    | y amp: 14.465   | z amp: 3.299    
x amp: 2.426    | y amp: 4.903    | z amp: 4.256    
x amp: 0.738    | y amp: 2.746    | z amp: 7.643    
x amp: 2.316    | y amp: 12.521   | z amp: 5.740    
x amp: 6.140    | y amp: 18.457   | z amp: 10.070   
x amp: 1.524    | y amp: 3.855    | z amp: 5.234    
x amp: 2.158    | y amp: 13.463   | z amp: 17.589   
x amp: 8.380    | y amp: 8.454    | z amp: 1.238    
x amp: 0.985    | y amp: 5.174    | z amp: 3.916    
x amp: 0.874    | y amp: 4.940    | z amp: 14.349   
x amp: 8.127    | y amp: 6.050    | z amp: 1.511    
x amp: 3.625    | y amp: 0.524    | z amp: 2.410    
x amp: 4.678    | y amp: 2.781    | z amp: 13.299   
x amp: 9.044    | y amp: 9.068    | z amp: 5.368    
x amp: 4.344    | y amp: 1.719    | z amp: 6.880    
x amp: 2.945    | y amp: 2.161    | z amp: 10.757   
x amp: 4.637    | y amp: 9.544    | z amp: 6.806    
x amp: 3.462    | y amp: 2.640    | z amp: 2.130    
x amp: 0.642    | y amp: 0.956    | z amp: 10.770   
x amp: 1.306    | y amp: 7.357    | z amp: 11.645   
x amp: 2.161    | y amp: 3.094    | z amp: 7.454    
x amp: 0.352    | y amp: 1.818    | z amp: 9.186    
x amp: 2.266    | y amp: 11.386   | z amp: 10.129   
x amp: 1.016    | y amp: 2.904    | z amp: 4.217    
x amp: 0.673    | y amp: 1.706    | z amp: 22.960   
x amp: 1.359    | y amp: 13.495   | z amp: 10.799   
x amp: 0.952    | y amp: 2.622    | z amp: 2.347    
x amp: 2.161    | y amp: 4.634    | z amp: 22.770   
x amp: 1.112    | y amp: 13.030   | z amp: 5.003    
x amp: 2.104    | y amp: 2.019    | z amp: 6.710    
x amp: 1.623    | y amp: 5.556    | z amp: 19.097   
x amp: 1.641    | y amp: 8.130    | z amp: 6.907    
x amp: 3.726    | y amp: 7.692    | z amp: 1.100    
x amp: 0.694    | y amp: 2.470    | z amp: 25.678   
x amp: 2.678    | y amp: 13.618   | z amp: 3.280    
x amp: 1.682    | y amp: 1.400    | z amp: 4.785    
x amp: 4.880    | y amp: 4.931    | z amp: 21.089   
x amp: 6.971    | y amp: 14.935   | z amp: 4.932    
x amp: 4.419    | y amp: 2.866    | z amp: 3.549    
x amp: 1.102    | y amp: 3.099    | z amp: 16.398   
x amp: 2.468    | y amp: 12.985   | z amp: 7.371    
x amp: 5.825    | y amp: 4.022    | z amp: 5.120    
x amp: 2.947    | y amp: 1.433    | z amp: 2.588    
x amp: 2.469    | y amp: 11.573   | z amp: 16.897   
x amp: 7.045    | y amp: 6.913    | z amp: 8.829    
x amp: 2.566    | y amp: 0.609    | z amp: 4.214    
x amp: 1.064    | y amp: 11.327   | z amp: 9.659    
x amp: 5.950    | y amp: 7.246    | z amp: 6.809    
x amp: 3.829    | y amp: 2.419    | z amp: 7.596    
x amp: 2.152    | y amp: 9.071    | z amp: 15.634   
x amp: 8.760    | y amp: 2.623    | z amp: 1.792    
x amp: 1.553    | y amp: 3.942    | z amp: 1.963    
x amp: 1.771    | y amp: 2.154    | z amp: 8.568    
x amp: 4.823    | y amp: 8.127    | z amp: 5.359    
x amp: 1.674    | y amp: 6.263    | z amp: 6.651    
x amp: 1.227    | y amp: 4.497    | z amp: 9.278    
x amp: 2.397    | y amp: 6.171    | z amp: 4.136    
x amp: 4.070    | y amp: 3.906    | z amp: 0.850    
x amp: 1.797    | y amp: 3.311    | z amp: 8.757    
x amp: 1.181    | y amp: 7.928    | z amp: 4.585    
x amp: 4.546    | y amp: 4.017    | z amp: 1.733    
x amp: 4.622    | y amp: 3.630    | z amp: 17.522   
x amp: 4.293    | y amp: 11.340   | z amp: 4.819    
x amp: 4.758    | y amp: 5.093    | z amp: 4.854    
x amp: 2.917    | y amp: 1.078    | z amp: 26.870   
x amp: 4.360    | y amp: 9.670    | z amp: 4.918    
x amp: 2.040    | y amp: 5.452    | z amp: 4.137    
x amp: 3.518    | y amp: 1.662    | z amp: 25.480   
x amp: 0.841    | y amp: 15.829   | z amp: 11.648   
x amp: 4.808    | y amp: 1.082    | z amp: 12.373   
x amp: 2.394    | y amp: 2.149    | z amp: 22.821   
x amp: 1.797    | y amp: 13.959   | z amp: 17.708   
x amp: 5.802    | y amp: 3.833    | z amp: 1.543    
x amp: 1.046    | y amp: 0.970    | z amp: 17.538   
x amp: 2.143    | y amp: 14.696   | z amp: 7.090    
x amp: 2.705    | y amp: 4.870    | z amp: 3.003    
x amp: 1.339    | y amp: 1.503    | z amp: 5.726    
x amp: 1.905    | y amp: 17.461   | z amp: 7.901    
x amp: 4.967    | y amp: 2.773    | z amp: 7.668    
x amp: 1.236    | y amp: 3.738    | z amp: 3.990    
x amp: 1.265    | y amp: 13.585   | z amp: 11.197   
x amp: 6.817    | y amp: 4.992    | z amp: 0.958    
x amp: 1.366    | y amp: 0.917    | z amp: 0.677    
x amp: 1.356    | y amp: 10.710   | z amp: 13.496   
x amp: 10.149   | y amp: 8.694    | z amp: 4.357    
x amp: 4.810    | y amp: 1.448    | z amp: 6.007    
x amp: 4.741    | y amp: 2.721    | z amp: 14.956   
x amp: 13.440   | y amp: 5.894    | z amp: 1.853    
x amp: 4.474    | y amp: 6.052    | z amp: 3.908    
x amp: 2.211    | y amp: 2.041    | z amp: 13.359   
x amp: 5.041    | y amp: 7.196    | z amp: 5.920    
x amp: 1.779    | y amp: 3.039    | z amp: 3.987    
x amp: 2.301    | y amp: 1.316    | z amp: 5.280    
x amp: 1.900    | y amp: 10.444   | z amp: 17.403   
x amp: 2.578    | y amp: 5.077    | z amp: 15.458   
x amp: 3.326    | y amp: 1.801    | z amp: 10.423   
x amp: 1.786    | y amp: 10.296   | z amp: 2.185    
x amp: 1.515    | y amp: 3.484    | z amp: 7.560    
x amp: 1.667    | y amp: 2.165    | z amp: 6.693    
x amp: 2.584    | y amp: 11.858   | z amp: 2.824    
x amp: 1.682    | y amp: 3.901    | z amp: 1.416    
x amp: 1.405    | y amp: 0.327    | z amp: 24.244   
x amp: 0.664    | y amp: 14.863   | z amp: 7.394    
x amp: 2.069    | y amp: 4.219    | z amp: 2.642    
x amp: 1.278    | y amp: 0.833    | z amp: 19.354   
x amp: 2.489    | y amp: 13.540   | z amp: 3.703    
x amp: 3.602    | y amp: 7.640    | z amp: 4.632    
x amp: 1.570    | y amp: 1.146    | z amp: 20.707   
x amp: 2.463    | y amp: 14.755   | z amp: 3.663    
x amp: 1.769    | y amp: 4.567    | z amp: 5.630    
x amp: 5.840    | y amp: 1.839    | z amp: 19.353   
x amp: 2.715    | y amp: 11.906   | z amp: 3.492    
x amp: 5.361    | y amp: 2.846    | z amp: 4.138    
x amp: 2.772    | y amp: 4.210    | z amp: 10.937   
x amp: 3.185    | y amp: 16.152   | z amp: 12.149   
x amp: 6.675    | y amp: 5.630    | z amp: 7.949    
x amp: 0.819    | y amp: 1.505    | z amp: 6.693    
x amp: 2.024    | y amp: 12.708   | z amp: 21.934   
x amp: 6.190    | y amp: 4.293    | z amp: 6.879    
x amp: 1.836    | y amp: 1.836    | z amp: 6.126    
x amp: 1.140    | y amp: 7.993    | z amp: 7.469    
x amp: 8.432    | y amp: 5.467    | z amp: 1.898    
x amp: 1.667    | y amp: 3.377    | z amp: 8.583    
x amp: 0.576    | y amp: 6.935    | z amp: 6.466    
x amp: 8.444    | y amp: 3.770    | z amp: 5.188    
x amp: 1.549    | y amp: 3.152    | z amp: 2.510    
x amp: 1.410    | y amp: 5.574    | z amp: 12.892   
x amp: 8.806    | y amp: 9.172    | z amp: 2.666    
x amp: 0.336    | y amp: 2.534    | z amp: 6.121    
x amp: 1.598    | y amp: 2.538    | z amp: 7.452    
x amp: 1.698    | y amp: 8.866    | z amp: 4.791    
x amp: 3.309    | y amp: 4.817    | z amp: 0.584    
x amp: 2.440    | y amp: 2.466    | z amp: 11.255   
x amp: 0.490    | y amp: 12.591   | z amp: 4.743    
x amp: 1.741    | y amp: 3.809    | z amp: 2.261    
x amp: 4.518    | y amp: 3.090    | z amp: 26.082   
x amp: 3.772    | y amp: 15.477   | z amp: 7.480    
x amp: 4.821    | y amp: 4.205    | z amp: 4.584    
x amp: 1.936    | y amp: 1.286    | z amp: 17.493   
