DATA,-162.966003,154.084305,-158.266602,0.160455,0.013752,0.060610,0.985085
DATA,-163.857224,156.157974,-158.171082,0.156753,0.013896,0.060220,0.985702
DATA,-163.734909,154.948502,-158.965027,0.153213,0.014008,0.059263,0.986315
DATA,-165.478333,154.915253,-156.854172,0.149511,0.014311,0.058781,0.986908
DATA,-163.619995,154.687531,-156.926407,0.145870,0.014397,0.058093,0.987492
DATA,-161.911728,153.616058,-156.872131,0.142295,0.014496,0.057524,0.988045
DATA,-162.860580,154.669022,-157.089523,0.138824,0.014520,0.056687,0.988587
DATA,-163.254425,155.951691,-157.493866,0.135446,0.014554,0.055886,0.989100
DATA,-163.361130,154.848175,-158.737000,0.131997,0.014739,0.055084,0.989609
DATA,-162.286118,154.835449,-157.624466,0.128590,0.014816,0.054543,0.990086
DATA,-163.633957,154.404541,-157.737640,0.125268,0.014753,0.053980,0.990543
DATA,-162.931213,154.745331,-155.708694,0.121794,0.014976,0.053442,0.991002
DATA,-162.926758,152.675018,-157.411163,0.118533,0.014953,0.052756,0.991435
DATA,-162.593826,154.096878,-156.557343,0.115262,0.015057,0.052002,0.991859
DATA,-163.406219,153.748947,-157.734390,0.112024,0.015241,0.051353,0.992261
DATA,-162.387695,154.794846,-156.247437,0.108756,0.015291,0.050835,0.992650
DATA,-162.418243,153.809204,-156.040802,0.105678,0.015300,0.050066,0.993021
DATA,-163.237808,154.879150,-157.321808,0.102494,0.015466,0.049475,0.993382
DATA,-162.598038,156.202255,-159.178406,0.099310,0.015606,0.048996,0.993727
DATA,-162.512451,154.393845,-158.382004,0.096337,0.015632,0.048333,0.994052
DATA,-165.985077,155.300415,-159.356308,0.093219,0.015851,0.047635,0.994379
DATA,-160.443192,154.579086,-157.024689,0.090272,0.015937,0.046975,0.994681
DATA,-161.543961,154.558182,-157.984344,0.087268,0.016071,0.046454,0.994971
DATA,-164.572357,156.514786,-157.691711,0.084303,0.016199,0.045839,0.995253
DATA,-161.828323,155.912857,-157.116882,0.081421,0.016163,0.045191,0.995524
DATA,-162.389023,153.698700,-157.398865,0.078493,0.016475,0.044655,0.995778
DATA,-162.699554,154.695572,-155.957855,0.075648,0.016739,0.044078,0.996019
DATA,-164.364441,156.612762,-158.870239,0.073038,0.016810,0.043364,0.996244
DATA,-164.710739,156.363785,-158.317215,0.070169,0.016940,0.042841,0.996471
DATA,-163.349503,155.752991,-158.635574,0.067351,0.017007,0.042196,0.996692
DATA,-163.068253,155.957458,-157.861343,0.064664,0.016960,0.041673,0.996892
DATA,-163.587509,154.691269,-158.024887,0.061967,0.016970,0.041075,0.997088
