DATA,-153.555847,154.288635,-156.962738,0.010420,-0.636859,0.770416,0.027586,0.327203,-0.005365,0.010450,-0.944881
DATA,-153.661606,155.033051,-156.597717,0.013260,-0.636940,0.770352,0.026264,0.327124,-0.005619,0.010401,-0.944907
DATA,-153.381592,153.539856,-156.640442,0.014454,-0.636911,0.770287,0.028185,0.327179,-0.005774,0.010323,-0.944888
DATA,-152.836685,153.269180,-156.983749,0.010974,-0.636925,0.770403,0.026186,0.327141,-0.005717,0.010366,-0.944901
DATA,-152.545776,154.007507,-155.883896,0.013012,-0.636909,0.770334,0.027616,0.327058,-0.005585,0.010306,-0.944932
DATA,-151.284088,152.187195,-158.095932,0.013116,-0.636872,0.770301,0.029321,0.327096,-0.005517,0.010090,-0.944921
DATA,-152.325531,154.007996,-156.842896,0.009974,-0.636910,0.770412,0.026674,0.327108,-0.005819,0.009729,-0.944919
DATA,-154.163376,152.880524,-157.698944,0.011618,-0.636959,0.770385,0.025601,0.326821,-0.005929,0.010239,-0.945012
DATA,-152.017227,154.444458,-156.209488,0.011832,-0.636946,0.770346,0.026961,0.326788,-0.005966,0.010188,-0.945024
DATA,-151.657471,153.576324,-157.467560,0.012533,-0.636854,0.770291,0.030211,0.326829,-0.005954,0.010277,-0.945009
DATA,-153.647797,154.665924,-156.827866,0.012924,-0.636939,0.770349,0.026532,0.326736,-0.005904,0.010659,-0.945037
DATA,-153.964966,153.330627,-157.884369,0.011455,-0.636934,0.770410,0.025527,0.326715,-0.005993,0.010621,-0.945044
DATA,-153.038574,154.549545,-156.414368,0.013678,-0.636934,0.770308,0.027452,0.326623,-0.005896,0.010503,-0.945078
DATA,-151.514023,154.956177,-157.179672,0.011656,-0.636878,0.770346,0.028595,0.326566,-0.005834,0.010406,-0.945099
DATA,-153.261108,153.849197,-156.929520,0.013030,-0.636962,0.770340,0.026199,0.326600,-0.005755,0.010212,-0.945090
DATA,-151.385284,155.755814,-155.791977,0.014238,-0.636876,0.770266,0.029602,0.326710,-0.005797,0.010305,-0.945051
DATA,-154.023972,153.678238,-158.607834,0.010587,-0.636919,0.770422,0.025941,0.326661,-0.005716,0.010517,-0.945066
DATA,-154.699966,152.803497,-157.142685,0.013376,-0.636975,0.770357,0.025200,0.326601,-0.005658,0.010331,-0.945089
DATA,-153.969040,153.844238,-157.927658,0.012743,-0.636911,0.770350,0.027261,0.326720,-0.005981,0.010131,-0.945048
DATA,-155.017380,153.463028,-157.008194,0.013081,-0.636858,0.770307,0.029452,0.326810,-0.006029,0.009924,-0.945019
DATA,-152.548721,154.111984,-158.217926,0.013440,-0.636972,0.770342,0.025698,0.326752,-0.006305,0.009982,-0.945036
DATA,-155.025696,153.835724,-157.266556,0.012464,-0.636887,0.770325,0.028600,0.326753,-0.006220,0.009929,-0.945037
DATA,-153.011917,153.953354,-155.904572,0.011599,-0.636945,0.770392,0.025734,0.326655,-0.006325,0.009963,-0.945070
DATA,-152.939819,153.133255,-157.487808,0.013508,-0.636883,0.770293,0.029094,0.326525,-0.006319,0.009999,-0.945114
DATA,-153.532654,154.119186,-158.546982,0.010777,-0.636894,0.770404,0.026967,0.326487,-0.006340,0.010308,-0.945124
DATA,-153.076111,155.349731,-157.052170,0.010126,-0.636894,0.770420,0.026750,0.326303,-0.006151,0.010588,-0.945186
DATA,-151.822723,155.370239,-157.068619,0.012740,-0.636967,0.770358,0.025692,0.326383,-0.006363,0.010675,-0.945156
DATA,-152.112167,154.232391,-157.980850,0.010152,-0.636846,0.770377,0.029049,0.326405,-0.006422,0.010575,-0.945149
DATA,-153.591141,154.332840,-156.876373,0.012564,-0.636951,0.770354,0.026271,0.326403,-0.006468,0.010594,-0.945149
DATA,-153.635254,153.792511,-157.133453,0.012521,-0.636950,0.770340,0.026720,0.326402,-0.006409,0.010316,-0.945153
DATA,-155.465317,154.942825,-156.478729,0.012194,-0.636943,0.770336,0.027153,0.326458,-0.006530,0.010225,-0.945134
DATA,-151.419830,154.967102,-155.867233,0.012992,-0.636866,0.770263,0.030463,0.326337,-0.006436,0.010575,-0.945172
DATA,-154.044266,154.418365,-158.307571,0.012795,-0.636982,0.770329,0.026137,0.326110,-0.006186,0.010863,-0.945249
DATA,-153.825867,154.844513,-156.756516,0.011046,-0.636959,0.770375,0.026148,0.326233,-0.006410,0.010675,-0.945207
DATA,-152.831329,154.665100,-158.287430,0.013208,-0.636990,0.770320,0.026005,0.326303,-0.006500,0.010417,-0.945186
DATA,-151.994522,155.214417,-155.849197,0.010956,-0.636933,0.770361,0.027201,0.326189,-0.006447,0.010621,-0.945223
DATA,-154.178818,151.925674,-156.926620,0.015239,-0.636933,0.770219,0.029090,0.326177,-0.006378,0.010471,-0.945229
DATA,-153.693954,154.812668,-157.443634,0.011829,-0.636926,0.770339,0.027625,0.326241,-0.006246,0.010591,-0.945207
DATA,-154.419846,153.833008,-156.280579,0.013870,-0.636952,0.770288,0.027493,0.326261,-0.006329,0.010368,-0.945202
DATA,-151.722595,153.653915,-156.465454,0.009512,-0.636951,0.770429,0.025350,0.326398,-0.006266,0.010042,-0.945158
DATA,-154.232391,153.287186,-157.509689,0.013392,-0.636958,0.770303,0.027177,0.326280,-0.006123,0.010211,-0.945198
DATA,-153.424225,152.990448,-156.880768,0.011430,-0.637008,0.770373,0.024797,0.326363,-0.006194,0.009921,-0.945172
DATA,-151.474091,154.709610,-156.778168,0.010842,-0.636901,0.770338,0.028604,0.326553,-0.006326,0.009778,-0.945107
DATA,-153.995422,154.107651,-157.166916,0.012599,-0.637003,0.770331,0.025669,0.326539,-0.006282,0.009641,-0.945114
DATA,-152.409103,156.084778,-156.869095,0.013915,-0.636952,0.770271,0.027928,0.326708,-0.006386,0.009500,-0.945056
DATA,-152.488556,154.456772,-156.879150,0.011147,-0.636969,0.770390,0.025403,0.326733,-0.006401,0.009569,-0.945046
